fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin
D1;PG_C2M;;;
D2;;;;
D3;;;;
D4;;;;D6
D5;1;;;D5
D6;;;;
D7;;;;
D8;TC-HK_MOSI;LVCMOS25;o_spi_mosi;G17
D9;;;;F18
D10;;;;
D11;;;;C17
D12;;;;C18
D13;;;;
D14;SCIENCE_DATA0_COL1_P;LVDS_25;i_science_data_p[2];L19
D15;SCIENCE_DATA0_COL1_N;LVDS_25;i_science_data_n[2];L20
D16;;;;
D17;;;;E15
D18;;;;E16
D19;;;;
D20;SCIENCE_CTRL_01_P;LVDS_25;i_science_ctrl_p[0];E10
D21;SCIENCE_CTRL_01_N;LVDS_25;i_science_ctrl_n[0];D10
D22;;;;
D23;;;;F14
D24;;;;F13
D25;;;;
D26;;;;C9
D27;;;;B9
D28;;;;
D29;;;;
D30;TDI2TDO;;;
D31;TDI2TDO;;;
D32;3.3V Aux;;;
D33;;;;
D34;;;;
D35;GA1;;;
D36;3.3V;;;
D37;;;;
D38;3.3V;;;
D39;;;;
D40;3.3V;;;
