fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin
J1;;;;
J2;;;;AB16
J3;;;;AC16
J4;;;;
J5;;;;
J6;SCIENCE_CTRL_01_P;LVDS_25;i_science_ctrl_p[0];AD23
J7;SCIENCE_CTRL_01_N;LVDS_25;i_science_ctrl_n[0];AD24
J8;;;;
J9;;;;AD25
J10;;;;AE25
J11;;;;
J12;;;;AA25
J13;;;;AB25
J14;;;;
J15;LED_FW;LVCMOS25;o_led_fw;V23
J16;LED_PLL_LOCK;LVCMOS25;o_led_pll_lock;V24
J17;;;;
J18;;;;AD21
J19;;;;AE21
J20;;;;
J21;;;;V21
J22;;;;W21
J23;;;;
J24;;;;Y17
J25;;;;Y18
J26;;;;
J27;;;;W15
J28;;;;W16
J29;;;;
J30;;;;AA14
J31;;;;AA15
J32;;;;
J33;;;;AB19
J34;;;;AB20
J35;;;;
J36;;;;AD20
J37;;;;AE20
J38;;;;
J39;;;;
J40;;;;
