fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin
K1;;;;
K2;;;;
K3;;;;
K4;SCIENCE_DATA0_COL1_P;LVDS_25;i_science_data_p[2];C12
K5;SCIENCE_DATA0_COL1_N;LVDS_25;i_science_data_n[2];C11
K6;;;;
K7;;;;AE23
K8;;;;AF23
K9;;;;
K10;;;;AB22
K11;;;;AC22
K12;;;;
K13;SCIENCE_CTRL_23_P;LVDS_25;i_science_ctrl_p[1];AA23
K14;SCIENCE_CTRL_23_N;LVDS_25;i_science_ctrl_n[1];AB24
K15;;;;
K16;SCIENCE_DATA1_COL2_P;LVDS_25;i_science_data_p[5];AC23
K17;SCIENCE_DATA1_COL2_N;LVDS_25;i_science_data_n[5];AC24
K18;;;;
K19;;;;AE22
K20;;;;AF22
K21;;;;
K22;;;;W20
K23;;;;Y21
K24;;;;
K25;;;;AA17
K26;;;;AA18
K27;;;;
K28;;;;AB17
K29;;;;AC17
K30;;;;
K31;;;;Y15
K32;;;;Y16
K33;;;;
K34;;;;AE17
K35;;;;AF17
K36;;;;
K37;;;;AC18
K38;;;;AD18
K39;;;;
K40;;;;
